datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,Ozono (µg/m3),Dióxido de Azoto (µg/m3),Óxidos de Azoto (µg/m3),Monóxido de Azoto (µg/m3),pollen_intensity,admission number,risk level
2019-01-01,16.0,7.6,11.5,16.0,6.6,11.4,5.1,66.2,0.0,0,0.0,,11.1,1031.6,1.2,10.1,117.2,10.3,5,Clear,12.0,42.45,54.55,7.5,good,5,high risk
2019-01-02,15.9,7.6,10.9,15.9,6.2,10.5,7.4,80.2,0.0,0,0.0,,16.4,1029.9,3.5,9.1,57.6,4.8,3,Clear,25.0,39.7,46.3,3.65,good,3,moderate risk
2019-01-03,10.3,4.5,7.4,10.3,2.2,6.3,6.1,91.7,0.005,100,4.17,40.7,12.6,1027.3,5.5,4.3,116.9,10.2,5,Rain,9.0,34.9,76.95,26.65,good,1,low risk
2019-01-04,13.1,6.6,9.7,13.1,4.1,8.7,6.9,84.1,0.0,0,0.0,33.5,16.8,1029.9,13.1,6.5,101.0,8.8,5,Clear,22.0,36.35,55.1,3.1,good,5,high risk
2019-01-05,14.8,7.8,10.5,14.8,6.0,9.9,5.5,71.4,0.0,0,0.0,40.7,14.9,1033.3,0.4,9.9,128.6,11.1,5,Clear,34.5,31.75,39.15,2.55,good,2,moderate risk
2019-01-06,14.2,5.3,8.7,14.2,5.3,8.4,4.6,76.4,0.0,0,0.0,27.7,13.0,1031.5,1.4,10.0,118.2,10.3,5,Clear,15.0,46.3,58.5,7.15,good,3,moderate risk
2019-01-07,15.3,5.5,10.4,15.3,3.0,9.8,-0.6,49.7,0.0,0,0.0,,15.3,1029.4,0.5,10.6,123.6,10.4,5,Clear,7.0,58.2,87.55000000000001,17.6,good,4,high risk
2019-01-08,15.3,6.8,10.6,15.3,5.6,10.1,0.0,48.7,0.0,0,0.0,38.9,14.5,1028.6,1.5,11.9,126.0,11.0,5,Clear,17.0,55.45,88.5,20.2,good,3,moderate risk
2019-01-09,17.1,6.8,11.2,17.1,6.8,11.1,4.4,64.1,0.0,0,0.0,29.5,13.9,1022.9,2.5,10.8,121.1,10.4,5,Clear,5.5,62.2,124.75,35.15,good,2,moderate risk
2019-01-10,14.7,8.4,11.5,14.7,7.5,11.2,4.4,63.0,0.0,0,0.0,31.7,21.5,1019.0,0.0,11.5,124.4,10.8,5,Clear,35.0,30.65,33.4,3.4000000000000004,good,2,moderate risk
2019-01-11,12.1,6.4,9.5,12.1,3.4,8.1,-0.9,48.7,0.0,0,0.0,,20.4,1025.7,0.0,12.1,127.0,10.9,5,Clear,46.0,23.6,32.55,2.25,good,3,moderate risk
2019-01-12,13.0,6.0,9.4,13.0,3.3,8.0,1.0,56.4,0.0,0,0.0,33.5,18.4,1029.3,0.0,10.9,129.0,11.0,5,Clear,42.5,24.65,32.3,2.8,good,6,high risk
2019-01-13,13.5,6.9,9.8,13.5,4.8,8.8,2.9,62.9,0.0,0,0.0,27.7,16.8,1028.7,0.4,10.5,129.0,11.0,5,Clear,33.5,25.4,28.55,4.1,good,3,moderate risk
2019-01-14,15.4,4.9,9.9,15.4,3.8,9.6,6.1,78.2,0.0,0,0.0,29.5,11.9,1024.4,1.5,9.7,123.5,10.5,5,Clear,14.0,51.45,65.8,8.2,good,6,high risk
2019-01-15,12.3,7.7,10.1,12.3,7.1,9.8,8.3,89.0,0.0,0,0.0,25.9,9.8,1021.0,13.2,6.9,28.7,2.5,1,Clear,9.5,49.9,96.55,26.1,good,3,moderate risk
2019-01-16,12.4,9.9,10.9,12.4,9.2,10.8,9.8,93.2,0.667,100,25.0,,9.1,1019.7,15.7,4.4,41.8,3.6,2,Rain,3.0,51.7,110.85,43.45,good,0,low risk
2019-01-17,14.0,7.3,10.6,14.0,6.0,10.1,5.9,74.8,0.008,100,4.17,,25.5,1020.9,7.0,11.2,122.3,10.4,6,Rain,41.0,24.2,28.55,2.05,good,5,high risk
2019-01-18,14.9,8.5,11.1,14.9,6.8,10.5,7.3,78.3,8.736,100,33.33,,19.6,1021.2,12.8,10.6,63.8,5.3,3,Rain,55.0,12.6,14.2,0.45,good,1,low risk
2019-01-19,16.4,9.6,12.6,16.4,9.2,12.6,11.6,93.6,10.487,100,41.67,44.6,25.9,1016.6,7.6,8.2,37.3,3.2,2,Rain,56.0,10.95,12.0,0.6,good,4,high risk
