temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,Ozono (µg/m3),Dióxido de Azoto (µg/m3),Óxidos de Azoto (µg/m3),Monóxido de Azoto (µg/m3),pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,temp cahnge,temp cahnge2,risk level
11.5,16.0,6.6,11.4,5.1,66.2,0.0,0.0,0.0,11.1,1031.6,1.2,10.1,117.2,10.3,5.0,12.0,42.45,54.55,7.5,1.0,1.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,1
10.9,15.9,6.2,10.5,7.4,80.2,0.0,0.0,0.0,16.4,1029.9,3.5,9.1,57.6,4.8,3.0,25.0,39.7,46.3,3.65,1.0,1.0,0.0,0.0,0.0,0.0,8.3,-0.5999999999999996,0.0,0
9.7,13.1,4.1,8.7,6.9,84.1,0.0,0.0,0.0,16.8,1029.9,13.1,6.5,101.0,8.8,5.0,22.0,36.35,55.1,3.1,1.0,1.0,0.0,0.0,0.0,0.0,6.5,2.299999999999999,-1.200000000000001,1
10.5,14.8,6.0,9.9,5.5,71.4,0.0,0.0,0.0,14.9,1033.3,0.4,9.9,128.6,11.1,5.0,34.5,31.75,39.15,2.55,1.0,1.0,0.0,0.0,0.0,0.0,7.000000000000001,0.8000000000000007,3.0999999999999996,0
8.7,14.2,5.3,8.4,4.6,76.4,0.0,0.0,0.0,13.0,1031.5,1.4,10.0,118.2,10.3,5.0,15.0,46.3,58.5,7.15,1.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,-1.8000000000000007,-1.0,0
10.4,15.3,3.0,9.8,-0.6,49.7,0.0,0.0,0.0,15.3,1029.4,0.5,10.6,123.6,10.4,5.0,7.0,58.2,87.55000000000001,17.6,1.0,1.0,0.0,0.0,0.0,0.0,9.8,1.700000000000001,-0.09999999999999964,1
10.6,15.3,5.6,10.1,0.0,48.7,0.0,0.0,0.0,14.5,1028.6,1.5,11.9,126.0,11.0,5.0,17.0,55.45,88.5,20.2,1.0,1.0,0.0,0.0,0.0,0.0,8.5,0.1999999999999993,1.9000000000000004,0
11.2,17.1,6.8,11.1,4.4,64.1,0.0,0.0,0.0,13.9,1022.9,2.5,10.8,121.1,10.4,5.0,5.5,62.2,124.75,35.15,1.0,1.0,0.0,0.0,0.0,0.0,10.3,0.5999999999999996,0.7999999999999989,0
11.5,14.7,7.5,11.2,4.4,63.0,0.0,0.0,0.0,21.5,1019.0,0.0,11.5,124.4,10.8,5.0,35.0,30.65,33.4,3.4000000000000004,1.0,1.0,0.0,0.0,0.0,0.0,6.299999999999999,0.3000000000000007,0.9000000000000004,0
9.5,12.1,3.4,8.1,-0.9,48.7,0.0,0.0,0.0,20.4,1025.7,0.0,12.1,127.0,10.9,5.0,46.0,23.6,32.55,2.25,1.0,1.0,0.0,0.0,0.0,0.0,5.699999999999999,-2.0,-1.6999999999999993,0
9.4,13.0,3.3,8.0,1.0,56.4,0.0,0.0,0.0,18.4,1029.3,0.0,10.9,129.0,11.0,5.0,42.5,24.65,32.3,2.8,1.0,1.0,0.0,0.0,0.0,0.0,7.0,-0.09999999999999964,-2.0999999999999996,1
9.8,13.5,4.8,8.8,2.9,62.9,0.0,0.0,0.0,16.8,1028.7,0.4,10.5,129.0,11.0,5.0,33.5,25.4,28.55,4.1,1.0,1.0,0.0,0.0,0.0,0.0,6.6,0.40000000000000036,0.3000000000000007,0
9.9,15.4,3.8,9.6,6.1,78.2,0.0,0.0,0.0,11.9,1024.4,1.5,9.7,123.5,10.5,5.0,14.0,51.45,65.8,8.2,1.0,1.0,0.0,0.0,0.0,0.0,10.5,0.09999999999999964,0.5,1
10.1,12.3,7.1,9.8,8.3,89.0,0.0,0.0,0.0,9.8,1021.0,13.2,6.9,28.7,2.5,1.0,9.5,49.9,96.55,26.1,1.0,1.0,0.0,0.0,0.0,0.0,4.6000000000000005,0.1999999999999993,0.29999999999999893,0
10.6,14.0,6.0,10.1,5.9,74.8,0.008,100.0,4.17,25.5,1020.9,7.0,11.2,122.3,10.4,6.0,41.0,24.2,28.55,2.05,1.0,0.0,0.0,1.0,0.0,0.0,6.7,-0.3000000000000007,0.5,1
12.6,16.4,9.2,12.6,11.6,93.6,10.487,100.0,41.67,25.9,1016.6,7.6,8.2,37.3,3.2,2.0,56.0,10.95,12.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,6.799999999999999,1.5,2.0,1
12.6,15.0,11.4,12.6,8.0,73.8,0.04,100.0,4.17,29.0,1019.7,4.2,11.0,114.3,9.9,6.0,64.5,8.600000000000001,10.75,0.4,1.0,0.0,0.0,1.0,0.0,0.0,3.5999999999999996,0.0,1.5,0
11.9,15.4,10.0,11.9,6.5,70.6,0.094,100.0,4.17,24.9,1024.2,3.8,12.0,139.7,12.1,6.0,55.0,14.8,19.45,1.35,1.0,0.0,0.0,1.0,0.0,0.0,5.4,-0.6999999999999993,-0.6999999999999993,1
11.8,13.8,8.1,11.7,7.5,75.4,0.05,100.0,4.17,20.3,1023.9,14.3,11.7,67.8,5.8,3.0,62.0,13.4,15.6,0.55,1.0,0.0,0.0,1.0,0.0,0.0,4.4,-0.09999999999999964,-0.7999999999999989,1
13.4,16.9,11.5,13.4,9.7,78.7,0.217,100.0,20.83,28.5,1020.5,13.2,11.0,70.2,6.0,3.0,68.0,9.95,12.0,0.55,1.0,0.0,0.0,1.0,0.0,0.0,5.399999999999999,1.5999999999999996,1.5,1
14.2,17.0,13.0,14.2,10.7,79.4,0.003,100.0,4.17,33.2,1017.7,10.8,12.1,58.9,5.1,3.0,59.0,12.95,16.65,0.8,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.7999999999999989,2.3999999999999986,0
14.1,18.6,8.9,14.1,8.5,70.4,0.0,0.0,0.0,13.8,1019.2,0.4,11.0,142.6,12.2,6.0,22.5,38.8,57.8,10.9,1.0,1.0,0.0,0.0,0.0,0.0,8.700000000000001,-0.09999999999999964,0.6999999999999993,1
12.6,15.8,10.5,12.6,8.7,77.4,0.001,100.0,4.17,20.1,1026.0,13.3,12.0,88.8,7.5,4.0,61.5,11.45,13.45,0.7,1.0,0.0,0.0,1.0,0.0,0.0,5.300000000000001,0.40000000000000036,-0.3000000000000007,1
14.0,15.0,12.7,14.0,13.1,94.2,13.981,100.0,75.0,32.3,1007.7,15.8,8.4,44.8,3.8,3.0,62.0,8.25,8.95,0.6,1.0,0.0,0.0,1.0,0.0,0.0,2.3000000000000007,1.4000000000000004,1.1999999999999993,0
10.5,13.8,6.9,9.4,4.5,67.3,0.672,100.0,20.83,23.1,1020.0,3.4,10.6,129.2,11.2,5.0,66.0,12.25,14.95,1.15,1.0,0.0,0.0,1.0,0.0,0.0,4.800000000000001,-1.0999999999999996,-3.5,0
10.2,14.4,5.4,9.4,2.7,61.4,0.0,0.0,0.0,21.5,1029.1,1.9,10.9,155.0,13.4,6.0,50.5,14.0,16.5,0.75,1.0,1.0,0.0,0.0,0.0,0.0,7.300000000000001,-0.3000000000000007,-1.4000000000000004,0
11.0,16.5,6.1,10.7,3.4,60.9,0.0,0.0,0.0,12.2,1029.0,6.2,10.5,163.0,14.2,6.0,21.5,45.8,66.45,10.95,1.0,1.0,0.0,0.0,0.0,0.0,9.6,1.5999999999999996,0.8000000000000007,1
12.0,16.7,8.2,11.9,6.5,70.1,0.0,0.0,0.0,15.7,1026.4,8.0,10.6,154.3,13.5,6.0,26.0,58.75,76.3,9.95,1.0,1.0,0.0,0.0,0.0,0.0,8.5,1.0,2.5999999999999996,0
12.5,16.4,8.9,12.4,8.4,77.1,0.0,0.0,0.0,16.2,1025.9,8.1,11.5,123.0,10.8,6.0,44.5,21.6,25.35,2.1,1.0,1.0,0.0,0.0,0.0,0.0,7.399999999999999,0.5,1.5,0
13.2,16.9,11.1,13.2,9.2,77.4,0.0,0.0,0.0,17.7,1024.0,7.3,11.1,96.3,8.3,4.0,57.5,17.15,21.45,0.8500000000000001,1.0,1.0,0.0,0.0,0.0,0.0,5.799999999999999,1.0,0.6999999999999993,1
12.1,16.7,7.3,11.8,6.9,71.9,0.006,100.0,8.33,15.2,1028.9,4.0,11.8,172.6,15.1,7.0,48.5,24.2,30.4,1.9,1.0,0.0,0.0,1.0,0.0,0.0,7.699999999999999,-2.0999999999999996,-1.0999999999999996,1
13.0,18.1,7.5,12.6,6.7,66.0,0.0,0.0,0.0,18.0,1028.7,1.5,11.7,174.9,15.3,7.0,36.0,33.1,39.8,5.199999999999999,1.0,1.0,0.0,0.0,0.0,0.0,8.600000000000001,0.9000000000000004,-1.1999999999999993,0
13.9,18.9,8.3,13.7,9.5,76.1,0.0,0.0,0.0,19.4,1024.8,1.3,10.8,178.1,15.4,7.0,55.5,22.95,25.4,2.5,1.0,1.0,0.0,0.0,0.0,0.0,9.399999999999999,0.40000000000000036,0.9000000000000004,0
13.7,17.5,8.0,13.6,8.5,72.0,0.0,0.0,0.0,15.6,1024.1,11.7,12.0,118.2,10.3,5.0,50.5,23.2,29.8,2.2,1.0,1.0,0.0,0.0,0.0,0.0,7.6,-0.20000000000000107,0.1999999999999993,1
14.2,18.0,11.9,14.2,7.5,64.6,0.0,0.0,0.0,17.6,1022.4,3.2,10.4,178.7,15.5,7.0,58.0,20.65,22.55,0.8,1.0,1.0,0.0,0.0,0.0,0.0,6.1,0.5,0.29999999999999893,0
12.7,17.0,7.8,12.6,10.1,84.8,3.676,100.0,12.5,11.0,1019.9,6.1,7.3,135.6,11.8,6.0,44.5,21.25,25.45,0.5,1.0,0.0,0.0,1.0,0.0,0.0,7.6,-1.5,-1.0,1
11.6,13.5,10.1,11.6,8.5,81.4,1.632,100.0,37.5,28.1,1017.3,13.5,10.6,49.0,4.4,3.0,68.5,17.200000000000003,19.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,3.4000000000000004,-1.0999999999999996,-2.5999999999999996,1
12.6,16.0,10.0,12.6,6.9,69.0,0.0,0.0,0.0,15.7,1020.4,6.2,11.9,180.5,15.7,7.0,49.0,27.6,34.8,1.15,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,-0.09999999999999964,0
12.2,17.4,7.4,11.9,6.6,69.3,0.0,0.0,0.0,13.0,1022.2,10.8,10.8,166.0,14.5,6.0,42.5,35.8,38.400000000000006,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.7,-0.40000000000000036,0.5999999999999996,0
13.6,18.1,8.2,13.4,10.0,79.9,0.0,0.0,0.0,19.0,1024.4,10.8,10.1,162.8,14.2,6.0,42.5,29.9,31.0,1.2000000000000002,1.0,1.0,0.0,0.0,0.0,0.0,8.600000000000001,1.4000000000000004,1.0,0
15.0,20.5,10.9,15.0,9.5,71.6,0.0,0.0,0.0,17.8,1027.4,11.3,10.5,172.0,15.0,7.0,58.0,19.55,20.65,0.55,1.0,1.0,0.0,0.0,0.0,0.0,9.6,1.4000000000000004,2.8000000000000007,0
15.3,20.8,11.3,15.3,8.0,64.7,0.0,0.0,0.0,13.8,1029.1,4.0,10.3,173.8,15.0,7.0,39.5,33.85,44.0,2.25,1.0,1.0,0.0,0.0,0.0,0.0,9.5,0.3000000000000007,1.700000000000001,1
16.3,21.5,10.9,16.3,7.1,55.2,0.0,0.0,0.0,17.9,1027.7,2.4,10.4,185.6,16.1,7.0,30.5,40.45,44.05,1.65,1.0,1.0,0.0,0.0,0.0,0.0,10.6,1.0,1.3000000000000007,0
14.1,18.5,10.9,14.1,8.0,67.8,0.0,0.0,0.0,18.5,1029.8,11.3,12.2,144.7,12.6,7.0,68.0,17.2,18.75,0.6499999999999999,1.0,1.0,0.0,0.0,0.0,0.0,7.6,-0.5,-1.0999999999999996,0
15.6,20.9,12.0,15.6,11.1,75.2,0.0,0.0,0.0,17.6,1027.4,5.9,11.0,131.8,11.1,5.0,57.0,9.8,11.6,0.75,1.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,1.1999999999999993,1.5,1
13.6,18.5,9.4,13.6,10.9,84.3,0.0,0.0,0.0,23.4,1024.9,5.5,10.0,182.8,15.6,6.0,54.5,10.55,10.8,0.4,1.0,1.0,0.0,0.0,0.0,0.0,8.6,-2.0,-0.8000000000000007,0
15.1,18.8,12.2,15.1,11.4,80.2,2.737,100.0,25.0,20.4,1022.1,12.5,10.6,128.3,10.9,5.0,64.5,7.85,9.2,0.45,1.0,0.0,0.0,1.0,0.0,0.0,6.600000000000001,1.5,-0.5,1
15.1,17.5,13.1,15.1,13.5,90.2,4.034,100.0,37.5,38.3,1015.0,7.6,9.1,94.6,8.2,3.0,61.0,3.1500000000000004,3.95,0.3,1.0,0.0,0.0,1.0,0.0,0.0,4.4,0.0,1.5,1
13.1,15.9,11.1,13.1,10.0,82.2,27.529,100.0,66.67,35.8,1010.8,12.3,11.0,172.5,15.0,7.0,75.0,7.35,9.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,4.800000000000001,-2.0,-2.0,0
11.9,15.4,8.3,11.8,9.0,83.5,14.149,100.0,41.67,30.2,1018.2,12.1,10.4,90.9,7.7,4.0,51.5,16.9,17.35,0.7,1.0,0.0,0.0,1.0,0.0,0.0,5.9,-1.1999999999999993,-3.1999999999999993,0
13.8,17.4,11.5,13.8,8.0,69.5,0.002,100.0,4.17,25.6,1024.7,11.5,12.0,191.8,16.7,8.0,61.5,15.75,16.75,0.8,1.0,0.0,0.0,1.0,0.0,0.0,5.899999999999999,1.9000000000000004,0.7000000000000011,0
14.9,20.0,10.4,14.9,9.2,70.4,0.0,0.0,0.0,18.9,1031.2,0.7,10.7,218.7,18.8,8.0,54.0,21.75,23.65,1.2,1.0,1.0,0.0,0.0,0.0,0.0,9.6,1.0999999999999996,3.0,0
16.3,22.5,12.5,16.3,9.6,66.6,0.0,0.0,0.0,16.8,1029.5,0.5,11.7,225.8,19.7,8.0,50.0,27.2,35.6,2.35,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.8000000000000007,1.4000000000000004,0
14.2,19.5,8.7,14.1,8.8,71.2,0.0,0.0,0.0,22.0,1028.7,4.3,11.3,197.9,17.0,8.0,40.5,20.7,22.9,1.15,1.0,1.0,0.0,0.0,0.0,0.0,10.0,-2.1000000000000014,-1.3000000000000007,0
12.8,15.4,10.1,12.8,5.4,62.0,0.001,100.0,4.17,44.6,1030.6,6.9,11.5,244.8,21.2,9.0,0.0,10.65,12.9,0.7,1.0,0.0,0.0,1.0,0.0,0.0,5.300000000000001,-1.3999999999999986,-3.5,0
14.5,19.7,10.4,14.5,4.2,52.1,0.0,0.0,0.0,21.4,1029.2,1.2,12.4,229.8,19.9,8.0,0.0,18.200000000000003,23.7,1.9,1.0,1.0,0.0,0.0,0.0,0.0,9.299999999999999,1.6999999999999993,0.3000000000000007,1
15.9,23.4,11.5,15.9,8.6,62.9,0.0,0.0,0.0,20.6,1021.3,0.8,10.5,223.2,19.3,8.0,57.0,42.400000000000006,50.95,1.5,1.0,1.0,0.0,0.0,0.0,0.0,11.899999999999999,0.0,1.4000000000000004,0
13.4,17.0,10.4,13.4,8.5,72.6,0.0,0.0,0.0,22.1,1023.2,5.7,10.9,165.4,14.2,8.0,72.0,9.55,10.3,0.4,1.0,1.0,0.0,0.0,0.0,0.0,6.6,-2.5,-2.5,0
14.3,19.7,10.4,14.3,6.2,59.6,0.0,0.0,0.0,27.1,1023.2,5.6,12.3,241.2,20.7,8.0,0.0,14.25,15.6,1.05,1.0,1.0,0.0,0.0,0.0,0.0,9.299999999999999,0.9000000000000004,-1.5999999999999996,0
15.9,19.6,11.9,15.9,3.4,44.2,0.0,0.0,0.0,22.5,1025.0,0.4,12.5,250.4,21.6,8.0,71.0,13.35,14.9,0.6499999999999999,1.0,1.0,0.0,0.0,0.0,0.0,7.700000000000001,0.20000000000000107,1.5999999999999996,0
14.8,19.2,10.8,14.8,5.5,54.0,0.0,0.0,0.0,15.5,1024.7,5.8,11.9,254.1,21.7,8.0,63.5,27.5,28.7,0.6499999999999999,1.0,1.0,0.0,0.0,0.0,0.0,8.399999999999999,-1.0999999999999996,-0.8999999999999986,1
19.0,24.9,13.2,19.0,5.5,44.7,0.0,0.0,0.0,28.4,1017.0,2.0,11.9,251.5,21.7,8.0,54.0,34.9,37.4,0.8,4.0,1.0,0.0,0.0,0.0,0.0,11.7,1.6000000000000014,1.1999999999999993,1
19.2,23.5,14.6,19.2,2.5,33.1,0.0,0.0,0.0,34.7,1012.8,9.1,11.9,253.6,21.9,8.0,80.0,14.55,16.45,0.75,4.0,1.0,0.0,0.0,0.0,0.0,8.9,0.1999999999999993,1.8000000000000007,0
17.1,22.2,11.3,17.1,6.3,52.9,0.0,0.0,0.0,17.7,1022.1,0.5,11.6,256.4,22.2,8.0,72.0,22.6,24.1,0.8500000000000001,4.0,1.0,0.0,0.0,0.0,0.0,10.899999999999999,-1.1999999999999993,-2.099999999999998,0
16.3,22.1,10.9,16.3,5.5,51.0,0.0,0.0,0.0,16.8,1020.1,4.1,12.0,258.6,22.4,9.0,72.5,25.700000000000003,26.0,0.8500000000000001,4.0,1.0,0.0,0.0,0.0,0.0,11.200000000000001,-0.8000000000000007,-2.0,1
15.7,21.6,11.8,15.7,5.7,52.9,0.0,0.0,0.0,17.8,1016.4,4.0,10.4,255.0,22.1,9.0,62.5,37.9,44.650000000000006,0.75,4.0,1.0,0.0,0.0,0.0,0.0,9.8,-0.6000000000000014,-1.4000000000000021,0
16.0,20.6,13.9,16.0,11.0,73.4,0.101,100.0,29.17,12.6,1013.1,9.7,11.7,243.4,21.2,8.0,64.0,24.1,27.75,1.0,4.0,0.0,0.0,1.0,0.0,0.0,6.700000000000001,-0.8999999999999986,0.3000000000000007,1
15.0,20.4,11.5,15.0,10.4,74.8,0.0,0.0,0.0,22.9,1016.9,10.2,10.7,169.5,14.8,6.0,77.5,15.15,15.95,0.75,4.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,-1.0,-1.8999999999999986,1
12.7,14.8,10.9,12.7,5.9,64.3,0.0,0.0,0.0,31.4,1013.2,13.3,12.5,150.7,13.2,6.0,80.0,13.15,14.75,0.7,4.0,1.0,0.0,0.0,0.0,0.0,3.9000000000000004,-2.3000000000000007,-3.3000000000000007,1
11.9,16.0,7.6,11.7,5.1,64.8,0.379,100.0,20.83,20.8,1007.7,8.7,12.0,176.7,15.4,8.0,79.5,8.85,10.4,0.55,4.0,0.0,0.0,1.0,0.0,0.0,7.1,-0.7999999999999989,-3.0999999999999996,0
10.6,13.5,3.8,10.0,7.0,78.9,29.016,100.0,75.0,26.7,1004.0,9.8,11.6,201.4,17.3,7.0,79.0,11.45,13.0,0.7,2.0,0.0,0.0,1.0,0.0,0.0,7.3,-1.3000000000000007,-2.0999999999999996,0
