date,pollen_intensity
18/03/2022,muito elevados
19/03/2022,muito elevados
20/03/2022,muito elevados
21/03/2022,muito elevados
22/03/2022,muito elevados
23/03/2022,muito elevados
24/03/2022,muito elevados
25/03/2022,muito elevados
26/03/2022,muito elevados
27/03/2022,muito elevados
28/03/2022,muito elevados
29/03/2022,muito elevados
30/03/2022,muito elevados
31/03/2022,muito elevados
01/04/2022,muito elevados
02/04/2022,muito elevados
03/04/2022,muito elevados
04/04/2022,muito elevados
05/04/2022,muito elevados
06/04/2022,muito elevados
07/04/2022,muito elevados
08/04/2022,muito elevados
09/04/2022,muito elevados
10/04/2022,muito elevados
11/04/2022,muito elevados
12/04/2022,muito elevados
13/04/2022,muito elevados
14/04/2022,muito elevados
15/04/2022,muito elevados
16/04/2022,muito elevados
17/04/2022,muito elevados
18/04/2022,muito elevados
19/04/2022,muito elevados
20/04/2022,muito elevados
21/04/2022,muito elevados
22/04/2022,muito elevados
23/04/2022,muito elevados
24/04/2022,muito elevados
25/04/2022,muito elevados
26/04/2022,muito elevados
27/04/2022,muito elevados
28/04/2022,muito elevados
29/04/2022,muito elevados
30/04/2022,muito elevados
01/05/2022,muito elevados
02/05/2022,muito elevados
03/05/2022,muito elevados
04/05/2022,muito elevados
05/05/2022,muito elevados
06/05/2022,muito elevados
07/05/2022,muito elevados
08/05/2022,muito elevados
09/05/2022,muito elevados
10/05/2022,muito elevados
11/05/2022,muito elevados
12/05/2022,muito elevados
13/05/2022,muito elevados
14/05/2022,muito elevados
15/05/2022,muito elevados
16/05/2022,muito elevados
17/05/2022,muito elevados
18/05/2022,muito elevados
19/05/2022,muito elevados
20/05/2022,muito elevados
21/05/2022,muito elevados
22/05/2022,muito elevados
23/05/2022,muito elevados
24/05/2022,moderados
25/05/2022,moderados
26/05/2022,moderados
27/05/2022,moderados
28/05/2022,moderados
29/05/2022,moderados
30/05/2022,moderados
31/05/2022,moderados
01/06/2022,moderados
02/06/2022,moderados
03/06/2022,moderados
04/06/2022,moderados
05/06/2022,moderados
06/06/2022,moderados
07/06/2022,moderados
08/06/2022,moderados
09/06/2022,moderados
10/06/2022,moderados
11/06/2022,moderados
12/06/2022,moderados
13/06/2022,moderados
14/06/2022,moderados
15/06/2022,moderados
16/06/2022,moderados
17/06/2022,moderados
18/06/2022,moderados
19/06/2022,moderados
20/06/2022,moderados
21/06/2022,moderados
22/06/2022,moderados
23/06/2022,moderados
24/06/2022,moderados
25/06/2022,moderados
26/06/2022,moderados
27/06/2022,moderados
28/06/2022,moderados
29/06/2022,moderados
30/06/2022,moderados
01/07/2022,moderados
02/07/2022,moderados
03/07/2022,moderados
04/07/2022,moderados
05/07/2022,moderados
06/07/2022,moderados
07/07/2022,moderados
08/07/2022,baixos
09/07/2022,baixos
10/07/2022,baixos
11/07/2022,baixos
12/07/2022,baixos
13/07/2022,baixos
14/07/2022,baixos
