date, pm25, pm10, o3, no2, so2
01/01/2019, ,19,12,22,1
02/01/2019,61,20,15,14,1
03/01/2019,58,23,9,15, 
04/01/2019,67,31,11,17, 
05/01/2019,84,29,14,21,1
06/01/2019,81,33,9,25,2
07/01/2019,86,36,12,31,1
08/01/2019,92,39,7,32,2
09/01/2019,91,49,7,32,1
10/01/2019,113,39,16,24, 
11/01/2019,90,17,19,19, 
12/01/2019,49,17,15,22, 
13/01/2019,50,26,14,26, 
14/01/2019,67,32,14,39, 
15/01/2019,80,41,7,35, 
16/01/2019,98,52,1,34, 
17/01/2019,128,33,22,18, 
18/01/2019,92,17,19,20, 
19/01/2019,51,16,22,17, 
20/01/2019,44,16,27,5, 
21/01/2019,43,14,21,11, 
22/01/2019,30,15,24,15, 
23/01/2019,29,13,27,9, 
24/01/2019,26,17,22,11, 
25/01/2019,32,15,14,12, 
26/01/2019,32, , , , 
04/02/2019, ,22, ,27, 
05/02/2019, ,31,11,30,1
06/02/2019,84,42,8,34, 
07/02/2019,104,34,20,20, 
08/02/2019,78,21,19,27, 
09/02/2019,50,23,20,25, 
10/02/2019,53,19,23,13, 
11/02/2019,45,16,23,18, 
12/02/2019,35,17,15,25, 
13/02/2019,43,22,16,27, 
14/02/2019,58,34,21,23, 
15/02/2019,73,25,21,18, 
16/02/2019,61,24,20,21, 
17/02/2019,60,35,18,23, 
18/02/2019,75,30,28,11, 
19/02/2019,64,17,20,17, 
20/02/2019,35,24,15,30, 
21/02/2019,53,45,18,29,1
22/02/2019,84,51,18,23,1
23/02/2019,90,51,18,28, 
24/02/2019,93,56,22,27, 
25/02/2019,105,46,20,28, 
26/02/2019,87,35,19,26, 
27/02/2019,72,30,27,22, 
28/02/2019,60,24,26,13, 
01/03/2019,45,15,27,9, 
02/03/2019,27,12,23,6, 
03/03/2019,24,14,20,14, 
04/03/2019,35,17,20,17, 
05/03/2019,32,21,28,9, 
06/03/2019,38,14,27,11, 
07/03/2019,22,19,20,23, 
08/03/2019,41,16,25,12, 
09/03/2019,41,14,22,13, 
10/03/2019,38,11,17,6, 
11/03/2019,35,10,22,12, 
12/03/2019,26,17,25,17, 
13/03/2019,47,13,29,8,10
14/03/2019,33,14,26,15, 
15/03/2019,35,18,22,32, 
16/03/2019,51,32,30,33, 
17/03/2019,75,26,27,8, 
18/03/2019,65,16,29,10, 
19/03/2019,37,16,29,19, 
20/03/2019,37,15,29,14, 
21/03/2019,35,13,26,21, 
22/03/2019,32,17,31,24, 
23/03/2019,44,17,29,14, 
24/03/2019,45,18,29,12, 
25/03/2019,50,20,27,23, 
26/03/2019,51,17,28,15, 
27/03/2019,37,19,29,17, 
28/03/2019,46,22,31,23, 
29/03/2019,52,21,30,25, 
30/03/2019,50,22,29,23, 
31/03/2019,53,22,31,21,1
01/04/2019,57,18,28,23,1
02/04/2019,55,17,31,11, 
03/04/2019,42,13,28,21, 
04/04/2019,21,12,25,24, 
05/04/2019,25,13,26,18, 
06/04/2019,31,15,24,16, 
07/04/2019,38,18,24,28, 
08/04/2019,38,20,28,17, 
09/04/2019,40,17,28,11, 
10/04/2019,39,12,28,12, 
